"GBAC","ID","country","host","Collection.date","strain","isolate","isolation_source","serotype","country_original","Year","strain.isolate","color"
"AY720891/NA/2004/Dresden/HAstV4","AY720891",NA,"","2004","Dresden","","","HAstV4","",2004,"Dresden","#9B5142"
"AY720892/NA/2004/Dresden/HAstV1","AY720892",NA,"","2004","Dresden","","","HAstV1","",2004,"Dresden","#D7E476"
"DQ028633/BRA/1994/Goiania-GO-12-94-Brazil/HAstV5","DQ028633","BRA","","1994","","Goiania/GO/12/94/Brazil","stool","HAstV5","Brazil",1994,"Goiania-GO-12-94-Brazil","#018753"
"DQ070852/BRA/1995/Goiania-GO-12-95-Brazil/HAstV4","DQ070852","BRA","","1995","","Goiania/GO/12/95/Brazil","","HAstV4","Brazil",1995,"Goiania-GO-12-95-Brazil","#A75D4E"
"DQ344027/CHN/2005/Guangzhou/HAstV4","DQ344027","CHN","","2005","","Guangzhou","","HAstV4","China",2005,"Guangzhou","#954B3C"
"FJ755402/CHN/2005/Beijing-128-2005-CHN/HAstV1","FJ755402","CHN","Homo sapiens","Apr-2005","Beijing/128/2005/CHN","","stool","HAstV1","China",2005,"Beijing-128-2005-CHN","#CCDA6A"
"FJ755403/CHN/2006/Beijing-176-2006-CHN/HAstV1","FJ755403","CHN","Homo sapiens","Oct-2006","Beijing/176/2006/CHN","","stool","HAstV1","China",2006,"Beijing-176-2006-CHN","#DAE87A"
"FJ755404/CHN/2007/Beijing-291-2007-CHN/HAstV1","FJ755404","CHN","Homo sapiens","Nov-2007","Beijing/291/2007/CHN","","stool","HAstV1","China",2007,"Beijing-291-2007-CHN","#D0DD6E"
"FJ755405/CHN/2007/Beijing-293-2007-CHN/HAstV1","FJ755405","CHN","Homo sapiens","Nov-2007","Beijing/293/2007/CHN","","stool","HAstV1","China",2007,"Beijing-293-2007-CHN","#C9D666"
"GQ495608/CHN/2007/192-BJ07-CHN/HAstV6","GQ495608","CHN","Homo sapiens","Nov-2007","","192-BJ07-CHN","stool","HAstV6","China",2007,"192-BJ07-CHN","#E78FFF"
"GQ901902/RUS/2009/Rus-Nsc09-B4/HAstV6","GQ901902","RUS","Homo sapiens","01-Mar-2009","","Rus-Nsc09-B4","","HAstV6","Russia",2009,"Rus-Nsc09-B4","#7E1692"
"GU223905/RUS/2003/Rus-Nsc03-H191/HAstV3","GU223905","RUS","Homo sapiens","10-Nov-2003","","Rus-Nsc03-H191","","HAstV3","Russia",2003,"Rus-Nsc03-H191","#6D9498"
"GU732187/RUS/2008/Rus-Nsc08-3364/HAstV3","GU732187","RUS","Homo sapiens","21-Apr-2008","","Rus-Nsc08-3364","","HAstV3","Russia",2008,"Rus-Nsc08-3364","#5E878B"
"HQ398856/HUN/2010/Hu-Nyergesujfalu-HUN4520-2010-HUN/HAstV1","HQ398856","HUN","Homo sapiens","Jun-2010","Hu/Nyergesujfalu/HUN4520/2010/HUN","","fecal sample","HAstV1","Hungary",2010,"Hu-Nyergesujfalu-HUN4520-2010-HUN","#B8C452"
"JF491430/RUS/2004/Rus-Nsc04-H355/HAstV3","JF491430","RUS","Homo sapiens","21-Feb-2004","","Rus-Nsc04-H355","","HAstV3","Russia",2004,"Rus-Nsc04-H355","#507A7E"
"JN887820/KOR/2006/lhar-2011-kor/HAstV1","JN887820","KOR","Homo sapiens","Feb-2006","lhar/2011/kor","","stool","HAstV1","South Korea",2006,"lhar-2011-kor","#DEEC7E"
"JQ403108/CHN/2010/DL030/HAstV5","JQ403108","CHN","Homo sapiens","2010","","DL030","stool","HAstV5","China",2010,"DL030","#4BBD89"
"KC285152/RUS/2011/HAstV-2-RUS-Novosibirsk-Nsc11-N2411-2011/HAstV2","KC285152","RUS","Homo sapiens; sex: F; age: 3 months","15-Jun-2011","","HAstV-2/RUS/Novosibirsk/Nsc11-N2411/2011","feces","HAstV2","Russia: Novosibirsk",2011,"HAstV-2-RUS-Novosibirsk-Nsc11-N2411-2011","#BB9FE0"
"KF039910/RUS/2005/Rus-Nsc05-430/HAstV2","KF039910","RUS","","10-Aug-2005","","Rus-Nsc05-430","","HAstV2","Russia: Novosibirsk",2005,"Rus-Nsc05-430","#6F4E95"
"KF039911/RUS/2006/Rus-Nsc06-1029/HAstV2","KF039911","RUS","","17-Apr-2006","","Rus-Nsc06-1029","","HAstV2","Russia: Novosibirsk",2006,"Rus-Nsc06-1029","#D5BAF9"
"KF039912/RUS/2005/Rus-Nsc05-623/HAstV4","KF039912","RUS","","20-Oct-2005","","Rus-Nsc05-623","","HAstV4","Russia: Novosibirsk",2005,"Rus-Nsc05-623","#AE6354"
"KF039913/RUS/2010/Rus-Nsc10-N358/HAstV4","KF039913","RUS","","07-May-2010","","Rus-Nsc10-N358","","HAstV4","Russia: Novosibirsk",2010,"Rus-Nsc10-N358","#8F4637"
"KF211475/CHN/2010/JZ/HAstV1","KF211475","CHN","Homo sapiens","18-Nov-2010","","JZ","","HAstV1","China: Jinzhou",2010,"JZ","#D3E172"
"KP862744/KOR/2014/kor85/HAstV8","KP862744","KOR","Homo sapiens","20-Mar-2014","","kor85","human stool","HAstV8","South Korea",2014,"kor85","#A15748"
"LC694985/JPN/2019/HAstV3-190610-Tokyo-2019/HAstV3","LC694985","JPN","Homo sapiens","2019-07","","HAstV3/190610/Tokyo/2019","","HAstV3","Japan:Tokyo",2019,"HAstV3-190610-Tokyo-2019","#7CA1A5"
"LC694986/JPN/2022/HAstV1-211185-Tokyo-2022/HAstV1","LC694986","JPN","Homo sapiens","2022-01","","HAstV1/211185/Tokyo/2022","","HAstV1","Japan:Tokyo",2022,"HAstV1-211185-Tokyo-2022","#7A850A"
"LC694987/JPN/2021/HAstV1-210984-Tokyo-2021/HAstV1","LC694987","JPN","Homo sapiens","2021-12","","HAstV1/210984/Tokyo/2021","","HAstV1","Japan:Tokyo",2021,"HAstV1-210984-Tokyo-2021","#99A52E"
"LC694988/JPN/2021/HAstV1-210963-Tokyo-2021/HAstV1","LC694988","JPN","Homo sapiens","2021-12","","HAstV1/210963/Tokyo/2021","","HAstV1","Japan:Tokyo",2021,"HAstV1-210963-Tokyo-2021","#858F16"
"LC694989/JPN/2021/HAstV1-210956-Tokyo-2021/HAstV1","LC694989","JPN","Homo sapiens","2021-12","","HAstV1/210956/Tokyo/2021","","HAstV1","Japan:Tokyo",2021,"HAstV1-210956-Tokyo-2021","#818C12"
"LC694990/JPN/2018/HAstV1-181937-Tokyo-2018/HAstV1","LC694990","JPN","Homo sapiens","2018-10","","HAstV1/181937/Tokyo/2018","","HAstV1","Japan:Tokyo",2018,"HAstV1-181937-Tokyo-2018","#929D26"
"LC694991/JPN/2021/HAstV1-210764-Tokyo-2021/HAstV1","LC694991","JPN","Homo sapiens","2021-11","","HAstV1/210764/Tokyo/2021","","HAstV1","Japan:Tokyo",2021,"HAstV1-210764-Tokyo-2021","#88931A"
"LC694992/JPN/2021/HAstV1-210628-Tokyo-2021/HAstV1","LC694992","JPN","Homo sapiens","2021-10","","HAstV1/210628/Tokyo/2021","","HAstV1","Japan:Tokyo",2021,"HAstV1-210628-Tokyo-2021","#96A12A"
"LC694993/JPN/2020/HAstV1-193061-Tokyo-2020/HAstV1","LC694993","JPN","Homo sapiens","2020-03","","HAstV1/193061/Tokyo/2020","","HAstV1","Japan:Tokyo",2020,"HAstV1-193061-Tokyo-2020","#778106"
"LC694994/JPN/2020/HAstV1-193055-Tokyo-2020/HAstV1","LC694994","JPN","Homo sapiens","2020-03","","HAstV1/193055/Tokyo/2020","","HAstV1","Japan:Tokyo",2020,"HAstV1-193055-Tokyo-2020","#747E03"
"LC694995/JPN/2020/HAstV1-192642-Tokyo-2020/HAstV1","LC694995","JPN","Homo sapiens","2020-02","","HAstV1/192642/Tokyo/2020","","HAstV1","Japan:Tokyo",2020,"HAstV1-192642-Tokyo-2020","#7E880E"
"LC694996/JPN/2018/HAstV1-181290-Tokyo-2018/HAstV1","LC694996","JPN","Homo sapiens","2018-08","","HAstV1/181290/Tokyo/2018","","HAstV1","Japan:Tokyo",2018,"HAstV1-181290-Tokyo-2018","#C6D362"
"LC694997/JPN/2018/HAstV1-181289-Tokyo-2018/HAstV1","LC694997","JPN","Homo sapiens","2018-08","","HAstV1/181289/Tokyo/2018","","HAstV1","Japan:Tokyo",2018,"HAstV1-181289-Tokyo-2018","#C2CF5E"
"LC732122/JPN/2016/Human-JPN-2016-JP14641/HAstV3","LC732122","JPN","Homo sapiens","2016-04-24","Human/JPN/2016/JP14641","Child with acute gastroenteritis","feces","HAstV3","Japan: Gunma, Kiryu",2016,"Human-JPN-2016-JP14641","#C7E4E7"
"LC732123/JPN/2016/Human-JPN-2016-JP14665/HAstV3","LC732123","JPN","Homo sapiens","2016-05-07","Human/JPN/2016/JP14665","Child with acute gastroenteritis","feces","HAstV3","Japan: Gunma, Kiryu",2016,"Human-JPN-2016-JP14665","#B8D6D9"
"LC732124/JPN/2016/Human-JPN-2016-JP14989/HAstV3","LC732124","JPN","Homo sapiens","2016-05-24","Human/JPN/2016/JP14989","Child with acute gastroenteritis","feces","HAstV3","Japan: Gunma, Kiryu",2016,"Human-JPN-2016-JP14989","#9ABCBF"
"MF684776/CHN/2013/2013-Fuzhou-85/HAstV5","MF684776","CHN","Homo sapiens","2013","","2013/Fuzhou/85","stool","HAstV5","China",2013,"2013-Fuzhou-85","#38AF7B"
"MG571777/LAO/2015/NA/HAstV3","MG571777","LAO","Homo sapiens","2015","","","stool","HAstV3","Venezuela",2015,NA,"#A9C9CC"
"MN433703/USA/2013/Hu-US-2013-CA-RGDS-1070/HAstV1","MN433703","USA","Homo sapiens","Jan-2013","Hu/US/2013/CA-RGDS-1070","","stool","HAstV1","USA: CA",2013,"Hu-US-2013-CA-RGDS-1070","#A0AC36"
"MN433704/USA/2013/Hu-US-2013-CA-RGDS-1071/HAstV1","MN433704","USA","Homo sapiens","May-2013","Hu/US/2013/CA-RGDS-1071","","stool","HAstV1","USA: CA",2013,"Hu-US-2013-CA-RGDS-1071","#9DA832"
"MN433705/USA/2014/Hu-US-2014-CA-RGDS-1072/HAstV2","MN433705","USA","Homo sapiens","May-2014","Hu/US/2014/CA-RGDS-1072","","stool","HAstV2","USA: CA",2014,"Hu-US-2014-CA-RGDS-1072","#8869AE"
"MN433706/USA/2014/Hu-US-2014-CA-RGDS-1073/HAstV5","MN433706","USA","Homo sapiens","May-2014","Hu/US/2014/CA-RGDS-1073","","stool","HAstV5","USA: CA",2014,"Hu-US-2014-CA-RGDS-1073","#5ECB96"
"MN444721/USA/2017/Hu-US-2017-CA-RGDS-1074/HAstV3","MN444721","USA","Homo sapiens","May-2017","Hu/US/2017/CA-RGDS-1074","","stool","HAstV3","USA: NV",2017,"Hu-US-2017-CA-RGDS-1074","#8BAFB2"
"MT832892/BRA/2015/TO-98/HAstV1","MT832892","BRA","Homo sapiens","2015","MAstV-1/Hu/BRA/TO-98/2015","TO-98","feces","HAstV1","Brazil",2015,"TO-98","#A3AF3A"
"MT832893/BRA/2015/TO-160/HAstV1","MT832893","BRA","Homo sapiens","2015","MAstV-1/Hu/BRA/TO-160/2015","TO-160","feces","HAstV1","Brazil",2015,"TO-160","#B4C14E"
"MT832894/BRA/2011/TO-162/HAstV1","MT832894","BRA","Homo sapiens","2011","MAstV-1/Hu/BRA/TO-162/2011","TO-162","feces","HAstV1","Brazil",2011,"TO-162","#AEBA46"
"MT832895/BRA/2015/TO-171/HAstV1","MT832895","BRA","Homo sapiens","2015","MAstV-1/Hu/BRA/TO-171/2015","TO-171","feces","HAstV1","Brazil",2015,"TO-171","#AAB642"
"MT832896/BRA/2015/TO-208/HAstV1","MT832896","BRA","Homo sapiens","2015","MAstV-1/Hu/BRA/TO-208/2015","TO-208","feces","HAstV1","Brazil",2015,"TO-208","#A7B33E"
"MT832897/BRA/2015/TO-161/HAstV1","MT832897","BRA","Homo sapiens","2015","MAstV-1/Hu/BRA/TO-161/2015","TO-161","feces","HAstV1","Brazil",2015,"TO-161","#B1BD4A"
"MT906853/BRA/2014/BRA-TO-207/HAstV4","MT906853","BRA","Homo sapiens","2014","Hu/BRA/TO-207/2014","BRA/TO-207","stool","HAstV4","Brazil",2014,"BRA-TO-207","#C07466"
"MT906854/BRA/2015/BRA-TO-71/HAstV4","MT906854","BRA","Homo sapiens","2015","Hu/BRA/TO-71/2015","BRA/TO-71","stool sample","HAstV4","Brazil",2015,"BRA-TO-71","#B4695A"
"MT906855/BRA/2014/BRA-TO-26/HAstV4","MT906855","BRA","Homo sapiens","2014","Hu/BRA/TO-26/2014","BRA/TO-26","stool sample","HAstV4","Brazil",2014,"BRA-TO-26","#BA6E60"
"MT906857/BRA/2014/BRA-TO-40/HAstV5","MT906857","BRA","Homo sapiens","2014","Hu/BRA/TO-40/2014","BRA/TO-40","stool","HAstV5","Brazil",2014,"BRA-TO-40","#96F4BF"
"MT906858/BRA/2014/BRA-TO-57/HAstV5","MT906858","BRA","Homo sapiens","2014","Hu/BRA/TO-57/2014","BRA/TO-57","stool","HAstV5","Brazil",2014,"BRA-TO-57","#70D8A4"
"MT906859/BRA/2014/BRA-TO-32/HAstV5","MT906859","BRA","Homo sapiens","2014","Hu/BRA/TO-32/2014","BRA/TO-32","stool sample","HAstV5","Brazil",2014,"BRA-TO-32","#83E6B1"
"MW485040/KEN/2019/KLF-HAstV1-008-2019/HAstV1","MW485040","KEN","Homo sapiens","26-Apr-2019","KLF/HAstV1/008/2019","","","HAstV1","Kenya",2019,"KLF-HAstV1-008-2019","#BFCC5A"
"MW485042/KEN/2019/KLF-HAstV2-005-2019/HAstV2","MW485042","KEN","Homo sapiens","19-Jun-2019","KLF/HAstV2/005/2019","","","HAstV2","Kenya",2019,"KLF-HAstV2-005-2019","#A283C7"
"ON571594/CHN/2019/2019-Fuzhou-26/HAstV1","ON571594","CHN","Homo sapiens","2019","","2019/Fuzhou/26","feces","HAstV1","China: Fuzhou",2019,"2019-Fuzhou-26","#BBC856"
"ON571595/CHN/2019/2019-Fuzhou-289/HAstV5","ON571595","CHN","Homo sapiens","2019","","2019/Fuzhou/289","feces","HAstV5","China: Fuzhou",2019,"2019-Fuzhou-289","#139460"
"ON571596/CHN/2019/2019-Fuzhou-306/HAstV1","ON571596","CHN","Homo sapiens","2019","","2019/Fuzhou/306","feces","HAstV1","China: Fuzhou",2019,"2019-Fuzhou-306","#8F9A22"
"ON571597/CHN/2019/2019-Pingtan-42/HAstV1","ON571597","CHN","Homo sapiens","2019","","2019/Pingtan/42","feces","HAstV1","China: Pingtan",2019,"2019-Pingtan-42","#8B961E"
"ON571598/CHN/2021/2021-Fuzhou-37/HAstV4","ON571598","CHN","Homo sapiens","2021","","2021/Fuzhou/37","feces","HAstV4","China: Fuzhou",2021,"2021-Fuzhou-37","#F8A99C"
"OP432293/CHN/2021/HAstV-4-RC-21027/HAstV4","OP432293","CHN","Homo sapiens","31-Mar-2021","","HAstV-4/RC-21027","","HAstV4","China",2021,"HAstV-4-RC-21027","#EC9D90"
"OP432294/CHN/2022/HAstV-4-QD-L-22040/HAstV4","OP432294","CHN","Homo sapiens","28-Mar-2022","","HAstV-4/QD-L-22040","","HAstV4","China",2022,"HAstV-4-QD-L-22040","#DF9184"
"OP432295/CHN/2022/HAstV-4-QD-F-22056/HAstV4","OP432295","CHN","Homo sapiens","16-Apr-2022","","HAstV-4/QD-F-22056","","HAstV4","China",2022,"HAstV-4-QD-F-22056","#FFAFA2"
"OP432296/CHN/2021/HAstV-4-RC-21047/HAstV4","OP432296","CHN","Homo sapiens","26-May-2021","","HAstV-4/RC-21047","","HAstV4","China",2021,"HAstV-4-RC-21047","#000000"
"OP432297/CHN/2022/HAstV-4-QD-L-22001/HAstV4","OP432297","CHN","Homo sapiens","13-Feb-2022","","HAstV-4/QD-L-22001","","HAstV4","China",2022,"HAstV-4-QD-L-22001","#CD8072"
"OP432298/CHN/2022/HAstV-4-QD-S-22015/HAstV4","OP432298","CHN","Homo sapiens","15-Feb-2022","","HAstV-4/QD-S-22015","","HAstV4","China",2022,"HAstV-4-QD-S-22015","#D38678"
"OP432299/CHN/2021/HAstV-4-RC-21045/HAstV4","OP432299","CHN","Homo sapiens","26-May-2021","","HAstV-4/RC-21045","","HAstV4","China",2021,"HAstV-4-RC-21045","#E6978A"
"OP432300/CHN/2022/HAstV-4-QD-S-22022/HAstV4","OP432300","CHN","Homo sapiens","26-Mar-2022","","HAstV-4/QD-S-22022","","HAstV4","China",2022,"HAstV-4-QD-S-22022","#C77A6C"
"OP432301/CHN/2022/HAstV-4-QD-L-22019/HAstV4","OP432301","CHN","Homo sapiens","10-Mar-2022","","HAstV-4/QD-L-22019","","HAstV4","China",2022,"HAstV-4-QD-L-22019","#D98C7E"
"OR222910/CHN/2021/SY2106/HAstV5","OR222910","CHN","Homo sapiens","2021","","SY2106","stool","HAstV5","China",2021,"SY2106","#26A26E"
"OR371570/CHN/2022/HAstV-4_Fuzhou_2022-10/HAstV4","OR371570","CHN","Homo sapiens","2022-01-04","HAstV-4_Fuzhou_2022-10","","feces","HAstV4","China:Fuzhou",2022,"HAstV-4_Fuzhou_2022-10","#F2A396"
